stop_number,name,lat,lng
1,Stora Lundby kyrka,57.828432,12.293632
2,Kyrkvägen south,57.8265,12.2938
3,Södra Gråbo residential,57.827,12.2915
4,Kyrkvägen north,57.8295,12.293
5,Lundbyvägen south,57.833,12.2965
6,Röselidsvägen west,57.8335,12.3005
7,Röselidsskolan,57.834139,12.302767
8,Röselidsvägen east,57.834,12.304
9,Östra Gråbo residential,57.836,12.305
10,Mjörnbo Allé south,57.8355,12.2995
11,Nya Lundbygården,57.834641,12.298088
12,Närhälsan vårdcentral,57.835217,12.297077
13,Lundbyvägen center,57.8355,12.297
14,Curry King,57.836137,12.296884
15,Lundbyvägen north,57.8375,12.2975
16,Gråbo busstation,57.836804,12.298361
17,Konsum,57.835807,12.298653
18,Coop Mjörnbotorget,57.83583,12.298859
19,Torggatan,57.8362,12.299
20,Gråbo Blommor,57.836303,12.299583
21,Gråbo bibliotek,57.836385,12.300017
22,Mjörnbo Cafe,57.836667,12.299653
23,Mjörnbo Allé north,57.8375,12.3
24,Monvägen east,57.839,12.2995
25,Lilla Kiosken,57.840397,12.298063
26,Pizzeria Campino,57.840296,12.297569
27,Aggetorpsvägen south,57.8405,12.2942
28,Lekstorpsskolan,57.841575,12.294351
29,Aggetorpsvägen north,57.8425,12.2945
30,Norra Gråbo residential,57.842,12.292
31,Lekstorps IF idrottspark,57.840754,12.290768
32,Sportvägen,57.8402,12.29
33,Industrivägen east,57.8398,12.2895
34,Ljungviksskolan,57.834845,12.287196
35,Lekstorpsvägen north,57.834,12.288
36,Ljungviksvägen,57.8335,12.29
37,Lekstorpsvägen south,57.832,12.2875
38,Bäckamaden road,57.83,12.276
39,Monvägen west,57.83,12.2735
40,Västra Gråbo residential,57.833,12.28
41,Ljungviksskolan annex,57.83432,12.28599
42,Lärovägen (Skolvägen),57.8345,12.286
43,Evolution Shop,57.839498,12.288103
44,Arrak Outdoor,57.839624,12.287414
45,DHOF Kläder och Fritid,57.839644,12.28741
46,Gråbo industriområde,57.840159,12.288093
47,Industrivägen west,57.841,12.286
48,Gulf Gråbo,57.841002,12.286398
49,Preem Gråbo,57.841902,12.288895
50,Grusvägen,57.842,12.289
