id,name,lat,lng
1,Aggetorpsvägen busshållplats,57.843612,12.29175
2,Vedmästarna Grusvägen,57.843014,12.291875
3,Aggetorpsvägen north (Aggetorpsvägen 18),57.842304,12.294213
4,Lekstorpsskolan,57.841575,12.294351
5,Aggetorpsvägen south (Monvägen 110B),57.840435,12.293835
6,Sportvägen (Monvägen 106),57.839825,12.292647
7,Lekstorps IF idrottspark,57.840754,12.290768
8,Preem Gråbo,57.841902,12.288895
9,Gulf Gråbo (Gråbo Industriväg 3),57.841064,12.286175
10,Gråbo industriområde,57.840159,12.288093
11,Evolution Shop,57.839498,12.288103
12,Ljungviksskolan,57.834845,12.287196
13,Ljungviksvägen (Gråbo Hed 11),57.833652,12.28938
14,Lekstorpsvägen south (Heden 2),57.832485,12.287136
15,Bäckamadens Förskola,57.833472,12.28729
16,Lekstorpsvägen north (Bäckamaden 5),57.834076,12.28762
17,Ljungviksskolan annex,57.83432,12.28599
18,Västra Gråbo residential (Bäckamaden 27B),57.831993,12.280118
19,Bäckamaden road (Bäckamaden 44),57.830231,12.274788
20,Monvägen west (Bäckamaden 47),57.829304,12.274108
21,Kyrkvägen south (Gråbovägen (street)),57.82613,12.292036
22,Södra Gråbo residential (Gråbovägen (street) 2),57.826996,12.29147
23,Stora Lundby kyrka,57.828432,12.293632
24,Kyrkvägen north (Lundbyvägen (street)),57.829914,12.293261
25,Lundbyvägen south (Ekdungen 6),57.83353,12.29696
26,Röselidsvägen west (Röselidskullen 6),57.833714,12.300708
27,Röselidsskolan,57.834139,12.302767
28,Röselidsvägen east (Giggvägen 30),57.834042,12.304722
29,Östra Gråbo residential (Betesvägen 19),57.835827,12.305067
30,Hjällsnäshallen,57.835616,12.301515
31,Nya Lundbygården,57.834641,12.298088
32,Närhälsan vårdcentral,57.835217,12.297077
33,Curry King,57.836137,12.296884
34,Coop Mjörnbotorget,57.83583,12.298859
35,Gråbo bibliotek,57.836385,12.300017
36,Gråbo busstation,57.836804,12.298361
37,Lundbyvägen north (Erik Jonsvägen 5),57.837551,12.297896
38,Mjörnbo Allé north (Hjällsnäsvägen 21),57.837353,12.300166
39,Monvägen east (Segerstadsvägen 9I),57.839153,12.299791
40,Lilla Kiosken,57.840397,12.298063
